course;review;rate
Entrenamiento completo en Data Science con Python 2021;Excelente Curso  sobretodo en lo didáctico  le falta un poco más la parte teórica matemática  pero no se le quita el buenísimo curso que es;Calificación: 5 0 de 5
Entrenamiento completo en Data Science con Python 2021;Excelente curso  aunque hay algunas correcciones que realizar con respecto de lo que se ve en el video y lo que se dice pues en algunos casos se lee algo pero dicen otra cosa  de resto es bastante amigable  util  y tiene mucho material de apoyo.;Calificación: 4 5 de 5
Entrenamiento completo en Data Science con Python 2021;"Este curso es imprescindible para todo aquel que quiera introducirse en el mundo de la Ciencia de Datos. Proporciona una gran cantidad de herramientas y recursos para la compresión  procesamiento y puesta en práctica del conocimiento que ofrece. Además  no necesitas tener conocimientos previos pues explican todo desde 0.
Muchísimas gracias  ¡nos vemos en el siguiente curso! :)";Calificación: 5 0 de 5
Entrenamiento completo en Data Science con Python 2021;Muy bien explicados los conceptos con ejemplos y ejercicios. Como aspecto a mejorar faltan algún recursos que se menciona en los videos y que no se han añadido al material del curso. También echo en falta algún ejercicio de series de tiempo.;Calificación: 4 5 de 5
Entrenamiento completo en Data Science con Python 2021;excelente   hace un repaso de conceptos estadísticos bien importantes y luego se lanza a los algoritmos de aprendizaje automático. Me hubiera gustado haber tenido un par mas de ejemplos de casos de negocio de redes profundas en los casos prácticos  guardar el modelo y luego utilizarlo. Ojalá hagan una segunda parte del curso con más casos prácticos de redes neuronales profundas!!. Saludos;Calificación: 5 0 de 5
Entrenamiento completo en Data Science con Python 2021;Para mi con cero conocimiento en el tema  ha sido muy enriquecedor y me motiva a seguir adquiriendo conocimiento  espero que puedan recomendarme otros cursos que ustedes hayan creado......¡ Felicitaciones!;Calificación: 5 0 de 5
Entrenamiento completo en Data Science con Python 2021;Me encanto el curso  te hace entender el aprendizaje automático desde sus cimientos. Me hubiera gustado un poco mas de enfoque de como aplicar el AA en un casos de negocio reales.;Calificación: 5 0 de 5
Entrenamiento completo en Data Science con Python 2021;Fue mi primer curso online  y fue una muy buena experiencia. Valoro particularmente la habilidad del orador de explicar términos complicados de una manera simple  y en general me mantuvo siempre atento. Los ejercicios durante las clases sirven para irse entrenando y tener una mejor idea de cómo resolver los problemas. Lo único que eché en falta fue una mayor variedad de ejercicios en la sección de aprendizaje automático.;Calificación: 5 0 de 5
Entrenamiento completo en Data Science con Python 2021;La verdad  esta bueno para los que somos principiantes. Es fundamental tomar nota de todo lo que dicen. Solo así  al revisar tus apuntes te darás cuenta de la gran cantidad de conceptos que se tratan en cada vídeo.;Calificación: 4 0 de 5
Entrenamiento completo en Data Science con Python 2021;Muy buen curso con muy buena conexión entre los contenidos y ejemplos muy bien explicados  me queda practicar lo aprendido;Calificación: 5 0 de 5
Entrenamiento completo en Data Science con Python 2021;Es muy buen curso  pero recomiendo el mismo en versión inglesa  tiene la parte de probabilidad  sklearn y es muchísimo más completo!;Calificación: 4 0 de 5
Entrenamiento completo en Data Science con Python 2021;"A nivel conceptual muy interesante y bien explicado. A nivel práctico  falta más casos porque de los que están  no comprendí algunos temas que no son mis problemas de ""negocios"" y por tanto no hile por completo la idea. También por lo que veo faltan respuestas a preguntas que muchos hemos escrito en anuncios.";Calificación: 4 0 de 5
Entrenamiento completo en Data Science con Python 2021;Hasta el momento sí. Lo único  recomiendo no hacer preguntas con una negación dentro de la oración  complica las cosas cuando lo que queremos todos es aprender y entender mejor (El primer cuestionario malo!  no hay relación entre su pregunta y las opciones);Calificación: 5 0 de 5
Entrenamiento completo en Data Science con Python 2021;Excelente curso  te motiva a seguir aprendiendo y hacer los ejercicios. Esta muy bien estructurado ya que enseña desde la base hasta las últimas tecnologías que maneja el mercado.;Calificación: 5 0 de 5
